q_ch,E_ch,q_dch,E_dch
0.211785963,23.19576024,0.211785963,20.12471091
0.255208015,23.2188345,0.255208015,19.45841896
0.362419853,23.2895725,0.362419853,18.4534115
0.503950815,24.72458353,0.503950815,15.84392348
0.690786651,23.62744688,0.690786651,15.30946662
0.93742971,25.41730733,0.93742971,13.87841789
1.263024628,26.43886161,1.263024628,14.45640946
